City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Mutsu,JP,41.2894,141.2169,48.81,70,3,4.21,clear sky
258,Bandarbeyla,SO,9.4942,50.8122,84.45,68,100,3.87,overcast clouds
259,Kalmunai,LK,7.4167,81.8167,80.42,81,90,3.15,overcast clouds
260,Luanda,AO,-8.8368,13.2343,78.8,94,75,4.61,broken clouds
261,Zhezkazgan,KZ,47.8043,67.7144,65.53,47,100,6.08,overcast clouds
262,Calella,ES,41.618,2.6678,64.99,100,64,5.01,broken clouds
263,Kavaratti,IN,10.5669,72.642,85.24,73,100,6.2,overcast clouds
264,Banjar,ID,-8.19,114.9675,80.6,83,20,6.91,few clouds
265,Carnarvon,AU,-24.8667,113.6333,64.4,72,2,10.36,clear sky
266,Boffa,GN,10.1667,-14.0333,79.9,65,0,8.5,clear sky
267,Hollins,US,37.3413,-79.9431,66.0,20,1,17.27,clear sky
268,Tynda,RU,55.1667,124.7167,32.27,90,100,3.65,overcast clouds
269,Hami,CN,42.8,93.45,75.74,29,100,19.82,overcast clouds
270,Preobrazheniye,RU,42.9019,133.9064,43.12,97,100,5.7,overcast clouds
271,Mpongwe,ZM,-13.5091,28.155,57.67,61,29,5.59,scattered clouds
272,Dingle,PH,10.9995,122.6711,77.99,86,100,5.35,light rain
273,Elmadag,TR,39.9208,33.2308,68.0,51,75,4.61,broken clouds
274,Rocha,UY,-34.4833,-54.3333,63.28,68,37,4.9,scattered clouds
275,Gamba,GA,-2.65,10.0,77.68,87,80,5.01,light rain
276,Jasper,US,37.2001,-94.3502,78.01,47,1,13.8,clear sky
277,Beyneu,KZ,45.3167,55.2,67.48,29,0,4.47,clear sky
278,Namibe,AO,-15.1961,12.1522,73.8,78,31,6.08,light rain
279,Nisia Floresta,BR,-6.0911,-35.2086,86.0,58,20,17.27,few clouds
280,Luzhou,CN,28.8724,105.4405,69.78,79,0,2.48,light rain
281,Tupik,RU,54.4253,119.9327,31.24,97,98,3.11,overcast clouds
282,Simbahan,PH,6.3032,120.5836,82.9,73,100,8.32,moderate rain
283,Horsham,GB,51.064,-0.3272,60.8,72,20,9.22,few clouds
284,Saldanha,ZA,-33.0117,17.9442,59.0,82,5,5.75,clear sky
285,Canete,CL,-37.8,-73.4,59.2,80,71,4.52,broken clouds
286,Ahipara,NZ,-35.1667,173.1667,64.72,86,100,8.41,overcast clouds
287,Bismarck,US,46.8083,-100.7837,37.99,93,90,17.27,heavy intensity rain
288,Qasigiannguit,GL,68.8193,-51.1922,33.8,64,75,4.61,broken clouds
289,Robertsport,LR,6.7533,-11.3686,82.29,78,100,9.62,overcast clouds
290,Zigong,CN,29.3416,104.7769,70.11,75,0,2.59,light rain
291,Kununurra,AU,-15.7667,128.7333,57.2,94,0,2.3,clear sky
292,Ubaira,BR,-13.2681,-39.6628,82.09,50,2,8.88,clear sky
293,Fort Nelson,CA,58.8053,-122.7002,50.0,66,75,2.3,broken clouds
294,Rovaniemi,FI,66.5,25.7167,37.4,56,0,9.22,clear sky
295,Port Blair,IN,11.6667,92.75,81.79,77,97,3.89,overcast clouds
296,San Narciso,PH,15.0143,120.0803,80.6,83,40,3.44,scattered clouds
297,Wuzhou,CN,23.4833,111.3167,74.98,89,100,0.69,overcast clouds
298,Malaya Serdoba,RU,52.4661,44.9512,53.28,66,100,8.68,overcast clouds
299,Cordoba,AR,-31.4135,-64.1811,68.0,48,40,14.97,scattered clouds
300,Kuching,MY,1.55,110.3333,77.0,94,20,3.44,few clouds
301,Mahibadhoo,MV,3.7833,72.9667,85.03,70,6,6.49,clear sky
302,Moindou,NC,-21.6924,165.677,77.0,65,0,6.91,clear sky
303,Shiloh,US,38.5614,-89.8973,53.6,58,75,11.5,broken clouds
304,Meulaboh,ID,4.1363,96.1285,79.03,84,100,1.14,overcast clouds
